Label Tweet,,,,
Non_HS,RT @spardaxyz: Fadli Zon Minta Mendagri Segera Menonakti,fkan ,,
Ahok Jadi Gubernur DKI https:\/\/t.co\/KH5vIRwPdO,,,,
Non_HS,RT @baguscondromowo: Mereka terus melukai aksi dalam ran,gka ,,
memenjarakan Ahok atau Ahok gagal dalam Pilkada.,,,,
Non_HS,Sylvi: bagaimana gurbernur melakukan kekerasan perempuan? ,,,
Buktinya banyak ibu2 mau foto bareng #DebatFinalPilkadaJKT,,,,
Non_HS,"""Ahmad Dhani Tak Puas Debat Pilkada, Masalah J",alan di Be,kasi ,
"Belum Sempat Terungkap https:\/\/t.co\/m3HopPLUID\u2026""",,,,
Non_HS,RT @lisdaulay28: Waspada KTP palsu.....kawal P,ILKADA ,,
https:\/\/t.co\/OOoERQV4SM,,,,
Non_HS,"""@felixsiauw masih bnyak hal agamis yg bisa di","bahas, ken",apa ke ,
"pilkada terus, apa tingkat keimanan anda cuma sebatas pilkada????""",,,,
Non_HS,@saidaqil apa maksud pernyataan. Anda? Apa anda mengamin,kan ,,
kriminalisasi Ahok?? Hati2 jg dg mulutmu pak! https:\/\/t.co\/H4ODVaY0Md,,,,
Non_HS,Ahok Akan Integrasikan Transportasi Publik dengan Sistem ,,,
Single Ticketing\u2026 https:\/\/t.co\/42PH7pqV0b #infoTribun,,,,
Non_HS,"""Ahok mampu melawan korupsi di ibukota, bangun infrastruktur, ",,,
"mencoba memperbaiki dengan berbagai trobosan dan works well.""",,,,
Non_HS,"""Awasi Kecurangan Pilkada, Agus - Sy",lvi Pakai Aplikasi Ini ,,
"https:\/\/t.co\/xWZW4nUFIU""",,,,
Non_HS,"""Bisa gak kita seperti Jokowi dan Ah","ok? Aku kalem, kamu tegas ",,
"saling melengkapi. :')""",,,,
Non_HS,"""Bos mau makan di istana ga, Di unda",ng noh mak,an di istana ,
"Gebang tapinya https:\/\/t.co\/ns6cUYCpUj""",,,,
Non_HS,Cuti Habis Ahok Jadi Gubernur DKI La,gi? Pengam,at: Jangan ,
Mengada-ada | Republika Online https:\/\/t.co\/T3kzvq9E4e,,,,
Non_HS,Debat terakhir Pilkada DKI Jakarta digelar Jum,at malam. ,,
https:\/\/t.co\/e9ixz6Jllr,,,,
Non_HS,Demonstran FPD Malteng Desak Bawaslu Hentikan ,Sementara ,,
Tahapan Pilkada Maluku Tengah,,,,
Non_HS,"""Dulu Didesak Berhentikan Ahok Ngeles Usai Mas","a Cuti Pilkada, ",,
Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu,,,,
"https:\/\/t.co\/92ss4trDcX""",,,,
Non_HS,"""Gila gara2 pilkada, beberapa tokoh menampakka",n watak ,,
"aslinya.""",,,,
Non_HS,Gontor Izinkan Santrinya Pulang Kampung Nyoblo,s Pilkada D,KI | ,
Republika Online https:\/\/t.co\/JhNOT8ecNz,,,,
Non_HS,"""Gubernur non-aktif DKI Jakarta, Basuki Tjahaj",a Purnama a,tau ,
"Ahok, berencana merombak struktur jabatan pegawai... ",,,,
"https:\/\/t.co\/cdKEZxF9xO""",,,,
Non_HS,HEBAT .. !!! Imam Besar Masjid Istiqlal : Kali,mat Ahok 100% ,,
Tidak Ada Penistaan AGAMA .. !! SEBARKAN,,,,
Non_HS,"""Ibu2 aja, kalo beli telor pake milih2 sblm di",timbang. Pdh ,,
"telor kan mirip2. Ibu2 itu tahu, telor ada yg busuk""",,,,
Non_HS,Ini Jawaban Ahok Saat Ditanya Terkait Persiapa,n Debat Pilgub ,,
Terakhir Besok https:\/\/t.co\/S6rlsAR7Y9,,,,
Non_HS,Ini Pesan Ahok ,di Hari Pe,rs Nasional #KitaPast,iPernah 
https:\/\/t.co\/h0L6mrjM3R,,,,
Non_HS,Istighotsah Ber,sama Ahok ,Catut Logo NU ,
https:\/\/t.co\/U2rPY3C25R,,,,
Non_HS,Itu yang ngomon,g jangan p,ilih Ahok Djarot pern,ah ngerasain 
banjir ga sih? :(,,,,
Non_HS,Iya aja deh dri,pada hoax...,,
